frame,time_seconds,mph,rpm,mph_raw,rpm_raw,mph_corrected,rpm_corrected
1,0.0,172,7685,1172,7685,yes,
2,0.033,172,7685,1172,7685,yes,
3,0.067,172,7685,172,7685,,
4,0.1,172,7685,172,7685,,
5,0.133,172,7685,172,7685,,
6,0.167,172,7685,172,7685,,
7,0.2,172,7685,172,7685,,
8,0.233,172,7685,172,7685,,
9,0.267,172,7685,172,7685,,
10,0.3,172,7685,172,7685,,
11,0.333,172,7685,172,7685,,
12,0.367,172,7685,172,7685,,
13,0.4,172,7706,172,7706,,
14,0.433,172,7706,172,7706,,
15,0.467,172,7706,172,7706,,
16,0.5,172,7706,172,7706,,
17,0.533,173,7706,173,7706,,
18,0.567,173,7738,173,7738,,
19,0.6,174,7738,174,7738,,
20,0.633,175,7801,1175,7801,yes,
21,0.667,175,7801,1175,7801,yes,
22,0.7,175,7851,175,7851,,
23,0.733,175,7851,1175,7851,yes,
24,0.767,175,7851,1175,7851,yes,
25,0.8,176,7870,1176,7870,yes,
26,0.833,176,7870,1176,7870,yes,
27,0.867,176,7870,1176,7870,yes,
28,0.9,177,7870,177,7870,,
29,0.933,177,7870,177,7870,,
30,0.967,177,7941,177,7941,,
31,1.0,177,7941,177,7941,,
32,1.033,177,7940,177,7940,,
33,1.067,177,7940,177,7940,,
34,1.1,177,7940,177,7940,,
35,1.133,178,7966,178,7966,,
36,1.167,178,7966,1178,7966,yes,
37,1.2,179,8042,179,8042,,
38,1.233,179,8044,179,042,,yes
39,1.267,179,8046,179,042,,yes
40,1.3,179,8048,179,042,,yes
41,1.333,180,8050,180,8050,,
42,1.367,180,8097,180,8097,,
43,1.4,181,8097,181,8097,,
44,1.433,181,8097,181,8097,,
45,1.467,181,8097,181,8097,,
46,1.5,181,8110,181,812,,yes
47,1.533,181,8122,181,8122,,
48,1.567,181,8154,181,8154,,
49,1.6,181,8164,181,6154,,yes
50,1.633,182,8173,182,8173,,
51,1.667,182,8173,182,8173,,
52,1.7,182,8173,182,8173,,
53,1.733,183,8173,183,8173,,
54,1.767,184,8178,184,8178,,
55,1.8,184,8176,184,8176,,
56,1.833,184,8176,184,8176,,
57,1.867,184,8176,184,8176,,
58,1.9,184,8176,184,8176,,
59,1.933,184,8176,184,8176,,
60,1.967,185,8243,185,8243,,
61,2.0,185,8243,185,8243,,
62,2.033,185,8243,185,8243,,
63,2.067,185,8243,185,8243,,
64,2.1,185,8284,185,8284,,
65,2.133,186,8284,186,8284,,
66,2.167,186,8284,186,8284,,
67,2.2,186,8284,186,8284,,
68,2.233,186,8284,186,8284,,
69,2.267,186,8284,186,8284,,
70,2.3,186,8284,186,8284,,
71,2.333,186,8275,186,8275,,
72,2.367,187,8275,187,8275,,
73,2.4,187,8275,187,8275,,
74,2.433,187,8275,187,8275,,
75,2.467,187,8275,187,8275,,
76,2.5,187,8275,187,8275,,
77,2.533,187,8322,187,8322,,
78,2.567,187,8322,187,8322,,
79,2.6,187,8322,187,8322,,
80,2.633,187,8322,187,8322,,
81,2.667,187,8322,187,8322,,
82,2.7,187,7989,187,7989,,
83,2.733,187,7989,187,7989,,
84,2.767,187,7989,187,7989,,
85,2.8,187,7989,187,7989,,
86,2.833,187,7989,187,7989,,
87,2.867,187,7989,187,7989,,
88,2.9,187,7989,187,7989,,
89,2.933,187,7989,187,7989,,
90,2.967,187,7989,187,7989,,
91,3.0,187,7989,187,7989,,
92,3.033,187,7989,187,7989,,
93,3.067,187,7989,187,7989,,
94,3.1,187,7989,187,7989,,
95,3.133,187,7989,187,7989,,
96,3.167,187,7989,187,7989,,
97,3.2,187,7989,187,7989,,
98,3.233,187,7989,187,7989,,
99,3.267,187,7989,187,7989,,
100,3.3,187,7989,187,7989,,
101,3.333,187,7989,187,79839,,yes
102,3.367,187,7989,187,7989,,
103,3.4,187,7989,187,7989,,
104,3.433,187,7989,187,7989,,
105,3.467,187,7989,187,7989,,
106,3.5,187,7989,187,7989,,
107,3.533,186,7989,186,7989,,
108,3.567,186,7989,186,7989,,
109,3.6,186,8138,186,8138,,
110,3.633,185,8136,185,8136,,
111,3.667,185,8136,185,8136,,
112,3.7,185,8136,185,8136,,
113,3.733,185,8051,185,8051,,
114,3.767,182,7968,182,7968,,
115,3.8,182,7969,182,7969,,
116,3.833,182,7873,182,7873,,
117,3.867,182,7873,182,7873,,
118,3.9,182,7873,182,7873,,
119,3.933,182,7873,182,7873,,
120,3.967,180,7822,180,7822,,
121,4.0,178,7822,1178,7822,yes,
122,4.033,177,7736,177,7736,,
123,4.067,177,7736,1177,7736,yes,
124,4.1,175,7736,175,9736,,yes
125,4.133,175,7736,175,7736,,
126,4.167,175,7878,175,7878,,
127,4.2,175,7678,1175,7678,yes,
128,4.233,175,7678,175,7678,,
129,4.267,175,7678,1175,7678,yes,
130,4.3,175,7678,175,7678,,
131,4.333,175,7678,1175,7678,yes,
132,4.367,175,7678,1175,7678,yes,
133,4.4,173,7565,1173,7565,yes,
134,4.433,173,7565,1173,7565,yes,
135,4.467,173,7565,1173,7565,yes,
136,4.5,172,7565,172,7565,,
137,4.533,172,7565,172,7565,,
138,4.567,172,7565,172,7565,,
139,4.6,172,7565,172,7565,,
140,4.633,172,7565,172,7565,,
141,4.667,172,7565,1172,7565,yes,
142,4.7,172,7565,1172,7565,yes,
143,4.733,172,7565,1172,7565,yes,
144,4.767,172,7565,172,7565,,
145,4.8,172,7565,172,7565,,
146,4.833,172,7565,172,7565,,
147,4.867,172,7565,172,7565,,
148,4.9,172,7565,172,7565,,
149,4.933,172,7565,172,7565,,
150,4.967,172,7565,172,7565,,
151,5.0,172,7565,172,7565,,
152,5.033,172,7565,172,7565,,
153,5.067,172,7565,172,7565,,
154,5.1,172,7565,172,7565,,
155,5.133,172,7565,172,7565,,
156,5.167,172,7565,172,7565,,
157,5.2,172,7565,172,7565,,
158,5.233,172,7565,172,7565,,
159,5.267,172,7565,172,7565,,
160,5.3,172,7565,172,7565,,
161,5.333,172,7565,172,7565,,
