frame,time_seconds,mph,rpm,mph_raw,rpm_raw,mph_corrected,rpm_corrected
1,0.0,181,8056,181,8056,,
2,0.033,181,8056,181,8056,,
3,0.067,181,8056,181,8056,,
4,0.1,181,8056,181,8056,,
5,0.133,181,8097,181,8097,,
6,0.167,181,8097,181,8097,,
7,0.2,182,8097,182,8097,,
8,0.233,182,8097,182,8097,,
9,0.267,182,8097,182,8097,,
10,0.3,182,8097,182,8097,,
11,0.333,182,8104,182,6133,,yes
12,0.367,183,8110,183,6133,,yes
13,0.4,183,8117,183,6133,,yes
14,0.433,183,8123,183,6133,,yes
15,0.467,183,8130,183,6133,,yes
16,0.5,183,8136,183,6133,,yes
17,0.533,183,8143,183,6133,,yes
18,0.567,183,8150,183,6133,,yes
19,0.6,183,8156,183,6133,,yes
20,0.633,183,8163,183,6133,,yes
21,0.667,184,8169,184,6133,,yes
22,0.7,184,8176,184,8133,,yes
23,0.733,184,8182,184,6190,,yes
24,0.767,184,8189,184,6190,,yes
25,0.8,184,8195,184,6190,,yes
26,0.833,184,8202,184,6190,,yes
27,0.867,184,8209,184,6190,,yes
28,0.9,184,8215,184,6190,,yes
29,0.933,184,8222,184,6190,,yes
30,0.967,184,8228,184,6190,,yes
31,1.0,184,8235,184,6190,,yes
32,1.033,184,8241,184,6190,,yes
33,1.067,184,8248,184,8248,,
34,1.1,185,8248,185,8248,,
35,1.133,185,8248,185,8248,,
36,1.167,185,8277,185,8277,,
37,1.2,185,8277,185,8277,,
38,1.233,185,8277,185,8277,,
39,1.267,185,8277,185,8277,,
40,1.3,185,8277,185,8277,,
41,1.333,186,8277,186,8277,,
42,1.367,186,8277,186,8277,,
43,1.4,186,8286,186,8286,,
44,1.433,186,8286,186,8286,,
45,1.467,186,8286,186,8286,,
46,1.5,186,8286,186,8286,,
47,1.533,186,8286,186,8286,,
48,1.567,186,8413,186,8413,,
49,1.6,186,8413,186,8413,,
50,1.633,186,8413,186,8413,,
51,1.667,186,8413,186,8413,,
52,1.7,186,8413,186,8413,,
53,1.733,187,8413,187,8413,,
54,1.767,187,8413,187,8413,,
55,1.8,187,8413,187,8413,,
56,1.833,187,8413,187,8413,,
57,1.867,187,8262,187,8262,,
58,1.9,188,8262,188,8262,,
59,1.933,188,8262,188,8262,,
60,1.967,188,8262,188,8262,,
61,2.0,188,8262,188,8262,,
62,2.033,188,8262,188,8262,,
63,2.067,188,8262,188,8262,,
64,2.1,187,8271,187,8271,,
65,2.133,187,8271,187,8271,,
66,2.167,187,8271,187,8271,,
67,2.2,185,8077,185,8077,,
68,2.233,185,8077,185,8077,,
69,2.267,185,8077,185,8077,,
70,2.3,185,8077,185,8077,,
71,2.333,185,8077,185,8077,,
72,2.367,185,8077,185,8077,,
73,2.4,183,8077,183,8077,,
74,2.433,183,8077,183,8077,,
75,2.467,183,8077,183,8077,,
76,2.5,183,8077,183,8077,,
77,2.533,183,7987,183,7987,,
78,2.567,183,7987,183,7987,,
79,2.6,183,7987,183,7987,,
80,2.633,183,7987,183,7987,,
81,2.667,181,7870,181,7870,,
82,2.7,180,7870,180,7870,,
83,2.733,180,7870,180,7870,,
84,2.767,180,7870,180,7870,,
85,2.8,179,7870,179,7870,,
86,2.833,179,7870,179,7870,,
87,2.867,179,7870,179,7870,,
88,2.9,179,7848,179,7848,,
89,2.933,179,7848,179,7848,,
90,2.967,178,7848,178,7848,,
91,3.0,178,7848,178,7848,,
92,3.033,178,7848,178,7848,,
93,3.067,178,7848,178,7848,,
94,3.1,178,7848,178,7848,,
95,3.133,178,7798,178,7798,,
96,3.167,177,7798,177,7798,,
97,3.2,177,7798,177,7798,,
98,3.233,177,7798,1177,7798,yes,
99,3.267,177,7798,1177,7798,yes,
100,3.3,177,7798,1177,7798,yes,
101,3.333,177,7722,1177,7722,yes,
102,3.367,175,7722,175,7722,,
103,3.4,175,7722,1175,7722,yes,
104,3.433,175,7722,175,7722,,
105,3.467,175,7722,175,7722,,
106,3.5,175,7722,175,7722,,
107,3.533,174,7661,174,7661,,
108,3.567,174,7661,174,7661,,
109,3.6,174,7661,174,7661,,
110,3.633,174,7661,174,7661,,
111,3.667,174,7661,174,7661,,
112,3.7,173,7607,1173,7607,yes,
113,3.733,173,7607,1173,7607,yes,
114,3.767,173,7607,173,7607,,
115,3.8,173,7607,173,7607,,
116,3.833,173,7607,1173,7607,yes,
117,3.867,172,7607,1172,7607,yes,
118,3.9,172,7607,172,7607,,
119,3.933,172,7607,172,7607,,
120,3.967,172,7583,1172,7583,yes,
121,4.0,172,7583,1172,7583,yes,
122,4.033,172,7583,1172,7583,yes,
123,4.067,172,7583,1172,7583,yes,
124,4.1,172,7583,1172,7583,yes,
125,4.133,171,7583,171,7583,,
126,4.167,171,7478,171,7478,,
127,4.2,171,7476,171,7476,,
128,4.233,171,7476,171,7476,,
129,4.267,171,7478,171,7478,,
130,4.3,171,7478,171,7478,,
131,4.333,171,7478,171,7478,,
132,4.367,170,7478,1170,7478,yes,
133,4.4,170,7424,1170,7424,yes,
134,4.433,170,7424,1170,7424,yes,
135,4.467,170,7424,1170,7424,yes,
136,4.5,170,7424,1170,7424,yes,
137,4.533,170,7424,1170,7424,yes,
138,4.567,169,7424,169,7424,,
139,4.6,169,7432,1169,7432,yes,
