frame,time_seconds,mph,rpm,mph_raw,rpm_raw,mph_corrected,rpm_corrected
173,5.733,161,7145,161,7145,,
174,5.767,161,7055,161,7055,,
175,5.8,161,7055,161,7055,,
176,5.833,161,7055,161,7055,,
177,5.867,161,7055,161,7055,,
178,5.9,161,7055,161,7055,,
179,5.933,160,7055,160,7055,,
180,5.967,160,7055,160,7055,,
181,6.0,160,7178,160,7178,,
182,6.033,160,7178,160,7178,,
183,6.067,159,7178,159,7178,,
184,6.1,159,7178,159,7178,,
185,6.133,159,7178,159,7178,,
186,6.167,159,7178,159,7178,,
187,6.2,159,7178,159,7178,,
188,6.233,159,7178,159,7178,,
189,6.267,158,7041,158,7041,,
190,6.3,158,7041,158,7041,,
191,6.333,158,7041,158,7041,,
192,6.367,158,7041,158,7041,,
193,6.4,158,7041,158,7041,,
194,6.433,158,6999,158,6999,,
195,6.467,158,6999,158,6999,,
196,6.5,158,6999,158,6999,,
197,6.533,158,6999,158,6999,,
198,6.567,158,6999,158,6999,,
199,6.6,158,6997,158,6997,,
200,6.633,158,6997,158,6997,,
201,6.667,158,6997,158,6997,,
202,6.7,158,6997,158,6997,,
203,6.733,158,6997,158,6997,,
204,6.767,158,6997,158,6997,,
205,6.8,158,7028,158,7028,,
206,6.833,158,7028,158,7028,,
207,6.867,158,7028,158,7028,,
208,6.9,158,7028,158,7028,,
209,6.933,158,7028,158,7028,,
210,6.967,158,7018,158,7018,,
211,7.0,158,7018,158,7018,,
212,7.033,158,7018,158,7018,,
213,7.067,158,7018,158,7018,,
214,7.1,158,7018,158,7018,,
215,7.133,158,7018,158,7018,,
216,7.167,158,7022,158,7022,,
217,7.2,158,7022,158,7022,,
218,7.233,158,7022,158,7022,,
219,7.267,158,7022,158,7022,,
220,7.3,158,7022,158,7022,,
221,7.333,158,7022,158,7022,,
